coef,std err,t,P>|t|,2.5 %,97.5 %,scenario,trim_value,learner,share_trimmed_top,share_trimmed_bottom,share_treated,share_trim_orcl_top,share_trim_orcl_bottom,loss_ml_g0,loss_ml_g1,loss_ml_m,loss_g0,loss_g1,loss_m,bias,abs_bias,in_ci
-0.35585513380271777,0.17421790575402069,-2.042586450930892,0.04109339348201643,-0.6973159545425918,-0.014394313062843778,E,0.001,LogisticRegressionCV(),0.0,0.0,50.0,0.0,0.0,1.1282900285249693,1.0834150582202344,0.5566601232160946,1.12829,1.083415,0.55666,0.04414486619728225,0.04414486619728225,1
-0.2760517953724342,0.13351596125176807,-2.067556513725647,0.03868174482667632,-0.537738270787145,-0.014365319957723388,E,0.01,LogisticRegressionCV(),0.0,0.0,50.0,0.0,0.4,1.1553458921332183,1.0558107661841871,0.5547296691527765,1.155346,1.055811,0.55473,0.12394820462756584,0.12394820462756584,1
-0.3487197424044979,0.13192875052199846,-2.6432429703512628,0.00821160854076504,-0.6072953419529847,-0.09014414285601102,E,0.05,LogisticRegressionCV(),1.6,1.0,50.0,0.4,2.6,1.1501331822160197,1.076050730129676,0.5448628410938159,1.150133,1.076051,0.544863,0.05128025759550214,0.05128025759550214,1
-0.32504252135734396,0.13401537436214891,-2.425412180538209,0.015291014787232148,-0.5877078284818084,-0.06237721423287956,E,0.1,LogisticRegressionCV(),7.000000000000001,6.2,50.0,3.5999999999999996,8.200000000000001,1.1705112258230057,1.0850887218555216,0.5508329289732683,1.170511,1.085089,0.550833,0.07495747864265606,0.07495747864265606,1
-0.5104537393069062,0.1565723240148008,-3.260178594900673,0.0011134207979433524,-0.8173298553516516,-0.20357762326216078,E,0.001,LogisticRegressionCV(),0.0,0.0,52.2,0.0,0.0,1.0614958584686054,1.1049375452207253,0.5592406300104106,1.061496,1.104938,0.559241,-0.11045373930690616,0.11045373930690616,1
-0.4964903806532031,0.16540752814988635,-3.0016190085574666,0.0026854804622767695,-0.8206831785987756,-0.17229758270763068,E,0.01,LogisticRegressionCV(),0.0,0.0,52.2,0.0,0.4,1.029374341155471,1.1319290686034198,0.5542709923947322,1.029374,1.131929,0.554271,-0.09649038065320309,0.09649038065320309,1
-0.47298329896304964,0.1688631199477861,-2.800986379437381,0.005094666929810351,-0.8039489323777775,-0.14201766554832168,E,0.05,LogisticRegressionCV(),1.6,0.4,52.2,0.4,2.6,1.0787989692382616,1.1118460731646755,0.5615455545989646,1.078799,1.111846,0.561546,-0.07298329896304961,0.07298329896304961,1
-0.4178023314263172,0.11002487488940156,-3.797344299153237,0.0001462545841020065,-0.6334471236130697,-0.20215753923956475,E,0.1,LogisticRegressionCV(),4.2,1.7999999999999998,52.2,4.8,7.6,1.0329504398479774,1.1109839251119487,0.5651790317532932,1.03295,1.110984,0.565179,-0.017802331426317153,0.017802331426317153,1
-0.5460213728838033,0.13341200918370263,-4.092745295005304,4.262959001004524e-05,-0.8075041059889874,-0.28453863977861915,E,0.001,LogisticRegressionCV(),0.0,0.0,47.4,0.0,0.0,1.0895316543992744,1.1222955318603018,0.5583902149829622,1.089532,1.122296,0.55839,-0.14602137288380324,0.14602137288380324,1
-0.5128646728147767,0.1317009691042119,-3.8941602047662904,9.853951258063397e-05,-0.7709938289880544,-0.25473551664149896,E,0.01,LogisticRegressionCV(),0.0,0.0,47.4,0.0,0.2,1.0758503033661797,1.1704992842687603,0.5552631754257232,1.07585,1.170499,0.555263,-0.11286467281477663,0.11286467281477663,1
